U_D,U_R
"0,76","1,062"
"0,73","0,874"
"0,72","0,626"
"0,71","0,518"
"0,69","0,358"
"0,67","0,25"
"0,64","0,114"
"0,62","0,07"
"0,6","0,042"
"0,59","0,03"
"0,55","0,014"
"0,54","0,01"
"0,23","0,002"
